F001|P001|Sala 1|2026-06-05|18:00
F002|P001|Sala 1|2026-06-05|21:00
F003|P002|Sala 2|2026-06-05|17:00
F004|P003|Sala 3|2026-06-05|20:00
F005|P002|Sala 2|2026-06-06|19:00
F006|P002|Sala 2|2026-06-06|21:00
F007|P003|Sala 3|2026-06-06|17:00
F008|P004|Sala 1|2026-06-06|15:00
F009|P001|Sala 1|2026-06-06|18:00
F010|P004|Sala 3|2026-06-06|20:00
F011|P003|Sala 2|2026-06-07|16:00
F012|P001|Sala 1|2026-06-07|18:00
F013|P002|Sala 3|2026-06-07|17:00
F014|P004|Sala 2|2026-06-07|20:00
F015|P003|Sala 1|2026-06-07|21:00
